seq_id,user_id,length,result_type,first_bad_step,score,visited_nodes,time_ms
160,1004238,48,Hard_OOD,0,0.000000,1,0.001
161,1004240,67,Hard_OOD,9,6.666957,10,0.004
162,1004246,29,Hard_OOD,9,6.666957,10,0.004
163,1004248,47,Hard_OOD,5,4.587515,6,0.003
164,1004251,20,Causal_OOD,-1,5.057519,21,0.010
165,1004259,175,Hard_OOD,9,4.721047,10,0.004
166,1004269,110,Hard_OOD,5,5.280662,6,0.003
167,1004270,198,Hard_OOD,2,5.973810,3,0.003
168,1004274,61,Hard_OOD,4,6.666957,5,0.002
169,1004277,87,Hard_OOD,6,1.329419,7,0.003
170,1004282,20,Hard_OOD,3,6.666957,4,0.002
171,1004287,71,Hard_OOD,14,6.666957,15,0.011
172,1004289,40,Hard_OOD,27,6.666957,28,0.011
173,1004296,130,Hard_OOD,9,4.875197,10,0.004
174,1004298,200,Hard_OOD,4,6.666957,5,0.008
175,1004299,49,Hard_OOD,3,4.875197,4,0.002
176,1004302,87,Hard_OOD,5,6.666957,6,0.003
177,1004303,15,Causal_OOD,-1,5.973810,16,0.006
178,1004308,79,Soft_OOD,-1,5.568345,80,0.032
179,1004319,12,Hard_OOD,4,4.182050,5,0.002
180,1004327,126,Hard_OOD,2,5.973810,3,0.002
181,1004332,103,Hard_OOD,5,6.666957,6,0.002
182,1004335,33,Hard_OOD,11,6.666957,12,0.005
183,1004337,163,Hard_OOD,2,6.666957,3,0.006
184,1004339,32,Hard_OOD,1,3.371120,2,0.001
185,1004341,39,Hard_OOD,3,6.666957,4,0.003
186,1004350,37,Hard_OOD,4,5.057519,5,0.002
187,1004353,18,Hard_OOD,2,3.371120,3,0.001
188,1004354,39,Hard_OOD,13,6.666957,14,0.005
189,1004357,22,Hard_OOD,1,5.280662,2,0.001
190,1004358,8,Hard_OOD,1,5.973810,2,0.001
191,1004362,32,Hard_OOD,10,5.280662,11,0.004
192,1004366,155,Hard_OOD,1,3.833743,2,0.001
193,1004368,32,Hard_OOD,6,1.329419,7,0.005
194,1004377,82,Hard_OOD,2,6.666957,3,0.001
195,1004378,155,Hard_OOD,2,4.875197,3,0.004
196,1004381,82,Hard_OOD,2,5.280662,3,0.001
